geom,Address,Age 65+ Total,All_Persons,% of Seniors,latitude,longitude,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,has_shelter,has_shelter_with_bench,distance,id,source,bench_count,amenity
"{""type"":""LineString"",""coordinates"":[[-79.52178999999999,43.68516999999999],[-79.521859,43.685155],[-79.522039,43.68511199999999]]}",123 La Rose Ave,"229","237",0.966244725738397,43.6851313,-79.5217746,"14299",123 La Rose Ave - St Demetrius Seniors Residence,43.684992,-79.521984,Some,"0","0","21","473",OpenStreetMaps,"0",
"{""type"":""LineString"",""coordinates"":[[-79.52731,43.68636],[-79.52733,43.68639999999999],[-79.52737,43.68643],[-79.52741,43.68643999999999],[-79.52743999999999,43.68645],[-79.52746,43.68645]]}",1447 Royal York Rd,"107","112",0.955357142857143,43.6864298,-79.52706,"14307",1447 Royal York Rd - Humbervale Residence,43.686434,-79.52746,Some,"0","0","17","474",Google,"0",
"{""type"":""LineString"",""coordinates"":[[-79.565218,43.675398],[-79.565008,43.675446],[-79.564881,43.67547799999999],[-79.56476499999999,43.675507],[-79.564667,43.67553199999999],[-79.56447199999999,43.675581],[-79.56445399999999,43.67558499999999],[-79.56417299999999,43.67565599999999],[-79.56412199999999,43.67566899999999],[-79.564074,43.67568099999999],[-79.563889,43.675643],[-79.56378599999999,43.675612],[-79.563609,43.67553999999999],[-79.56345399999999,43.67520799999999],[-79.56334699999999,43.67516599999999],[-79.563226,43.674889]]}",620 Martin Grove Rd,"276","340",0.811764705882353,43.6752473,-79.5651524,"5610",Martin Grove Rd at Eglinton Ave West North Side,43.674908,-79.563145,Some,"1","1","220","475",OpenStreetMaps,"1","Shelter With Bench Underneath,Bench nearby"
"{""type"":""LineString"",""coordinates"":[[-79.54855499999999,43.67932799999999],[-79.548544,43.67934799999999],[-79.54860999999999,43.679459],[-79.548613,43.679659],[-79.54930699999999,43.679506],[-79.549435,43.679478],[-79.54985899999999,43.67937599999999],[-79.55000699999999,43.67934],[-79.55040499999999,43.679245],[-79.551517,43.678983],[-79.551692,43.67894199999999],[-79.551651,43.67887499999999],[-79.55163,43.678831]]}",25 Widdicombe Hill,"72","234",0.307692307692308,43.6792487,-79.5482952999999,"4389",Kipling Ave at Widdicombe Hill Blvd,43.678865,-79.551493,Some,"1","1","311","476",OpenStreetMaps,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.55236999999999,43.67808],[-79.55216,43.67837999999999],[-79.55214999999999,43.6784],[-79.55216,43.67844],[-79.55216,43.67844999999999],[-79.55217,43.67846],[-79.55223999999999,43.6785],[-79.55228999999999,43.67851999999999],[-79.55235999999999,43.67853999999999],[-79.55244,43.67857],[-79.55245999999999,43.67857],[-79.55249999999999,43.67857],[-79.55253999999999,43.67857],[-79.55253999999999,43.67857],[-79.55253999999999,43.67862999999999],[-79.55258999999999,43.67869],[-79.55263999999999,43.67882],[-79.55263999999999,43.67882],[-79.55187999999999,43.679]]}",53 Widdicombe Hill Blvd,"172","231",0.744588744588745,43.6781253,-79.5525058,"4390",Kipling Ave at Widdicombe Hill Blvd,43.679027,-79.551874,Some,"1","1","173","477",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.55343999999999,43.67815999999999],[-79.55322999999999,43.67808],[-79.5531,43.67804],[-79.55303,43.67803],[-79.55298999999999,43.67803],[-79.55295999999999,43.67804],[-79.55293,43.67804],[-79.55292,43.67804999999999],[-79.55289999999999,43.67806999999999],[-79.55286999999999,43.6781],[-79.55253999999999,43.67857],[-79.55253999999999,43.67857],[-79.55253999999999,43.67862999999999],[-79.55258999999999,43.67869],[-79.55263999999999,43.67882],[-79.55263999999999,43.67882],[-79.55187999999999,43.679]]}",57 Widdicombe Hill Blvd,"157","214",0.733644859813084,43.6780114,-79.5535442,"4390",Kipling Ave at Widdicombe Hill Blvd,43.679027,-79.551874,Some,"1","1","195","478",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.56889999999999,43.68056],[-79.56884999999999,43.68057],[-79.56879,43.68057],[-79.56874,43.68052999999999],[-79.56852999999999,43.68056],[-79.56843,43.68059],[-79.56843,43.68059],[-79.56842,43.68056],[-79.56834999999999,43.68039999999999],[-79.56833,43.68034999999999],[-79.56833,43.68034999999999],[-79.56843,43.68032],[-79.56865999999999,43.68021],[-79.56866999999999,43.68019999999999]]}",44 Longbourne Dr,"95","306",0.310457516339869,43.680739,-79.5689807,"2834",44 Longbourne Dr,43.680204,-79.568671,Some,"1","1","112","479",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.55880999999999,43.67656],[-79.55879,43.67654],[-79.55871999999999,43.67649],[-79.55868999999999,43.67647],[-79.55863999999999,43.67645999999999],[-79.55862,43.67645],[-79.55861,43.67645],[-79.55854999999999,43.67645],[-79.55849999999999,43.67645],[-79.55844,43.67645999999999],[-79.55822,43.67647999999999],[-79.55816,43.67649],[-79.55816,43.67649],[-79.55814999999999,43.67643999999999],[-79.55813,43.67636999999999],[-79.55809999999999,43.67631],[-79.55807,43.67624],[-79.55809,43.67624],[-79.55804,43.67618999999999],[-79.55804999999999,43.67618999999999],[-79.55796999999999,43.67613999999999],[-79.55786,43.67589],[-79.5578,43.67575],[-79.5578,43.67575],[-79.55801999999999,43.67569999999999]]}",120 Widdicombe Hill Blvd,"153","493",0.310344827586207,43.6764761,-79.5589927,"2421",Eglinton Ave West at Widdicombe Hill Blvd West Side,43.675664,-79.558038,Some,"1","1","189","480",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.55671999999999,43.67736],[-79.5567,43.67736],[-79.55665999999999,43.67737],[-79.55664,43.67737],[-79.55639999999999,43.67743999999999],[-79.55639999999999,43.6775],[-79.55630999999999,43.67752999999999],[-79.55607,43.67759],[-79.55575,43.67766999999999],[-79.55552,43.67772999999999],[-79.55545999999999,43.67774],[-79.55541999999999,43.67775],[-79.55539,43.6777],[-79.55521,43.67774]]}",73 Widdicombe Hill Blvd,"176","493",0.356997971602434,43.6771546,-79.5567473,"15273",63 Widdicombe Hill Blvd - Huntingwood Place,43.677731,-79.555206,None,"0","0","126","481",Google,"0",
"{""type"":""LineString"",""coordinates"":[[-79.55413,43.68057999999999],[-79.55410999999999,43.68059],[-79.55402999999999,43.68063999999999],[-79.55392999999999,43.68068],[-79.55374999999999,43.68072],[-79.55371999999999,43.68072999999999],[-79.55365999999999,43.68074],[-79.55364,43.68075999999999]]}",105 Clement Rd,"177","191",0.926701570680628,43.6804319,-79.5540658,"14303",105 Clement Rd - Richview Residence - Clement Building,43.680743,-79.553627,Some,"0","0","46","482",Google,"0",
