stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,has_shelter,has_shelter_with_bench,has_bench
14314,14797,Wellesley Station,,43.665358,-79.383941,,,,,,1,FALSE,FALSE,FALSE
14315,14798,Wellesley Station,,43.665306,-79.383605,,,,,,1,FALSE,FALSE,FALSE
14316,14799,Wilson Station,,43.734475,-79.45092,,,,,,2,FALSE,FALSE,FALSE
14317,14800,Wilson Station,,43.734574,-79.450945,,,,,,1,FALSE,FALSE,FALSE
14318,14801,Wilson Station,,43.73487,-79.450888,,,,,,2,FALSE,FALSE,FALSE
14319,14802,Wilson Station,,43.734709,-79.450841,,,,,,2,FALSE,FALSE,FALSE
14320,14803,Wilson Station,,43.73446,-79.450745,,,,,,2,FALSE,FALSE,FALSE
14321,14804,Woodbine Station,,43.68644,-79.312471,,,,,,1,FALSE,FALSE,FALSE
14322,14805,Woodbine Station,,43.686458,-79.312232,,,,,,1,FALSE,FALSE,FALSE
14323,14806,York Mills Station,,43.745172,-79.40593,,,,,,1,FALSE,FALSE,FALSE
14324,14807,York Mills Station,,43.745136,-79.406134,,,,,,1,FALSE,FALSE,FALSE
14325,14808,York Mills Station,,43.74511,-79.40634,,,,,,1,FALSE,FALSE,FALSE
14326,14810,York Mills Station,,43.745263,-79.406583,,,,,,1,FALSE,FALSE,FALSE
14327,14811,York Mills Station,,43.745338,-79.406424,,,,,,1,FALSE,FALSE,FALSE
14328,14812,York Mills Station,,43.745366,-79.406237,,,,,,1,FALSE,FALSE,FALSE
14329,14813,York Mills Station,,43.745312,-79.406022,,,,,,1,FALSE,FALSE,FALSE
14330,14814,York Mills Station,,43.745211,-79.405823,,,,,,1,FALSE,FALSE,FALSE
14339,14816,Spadina Station,,43.667221,-79.403665,,,,,,1,FALSE,FALSE,FALSE
14376,14819,St Clair Station,,43.687713,-79.392394,,,,,,1,FALSE,FALSE,FALSE
14377,14817,Wilson Station,,43.734555,-79.450966,,,,,,2,FALSE,FALSE,FALSE
14378,14820,Wilson Station,,43.734918,-79.451104,,,,,,2,FALSE,FALSE,FALSE
14617,14618,Bathurst Station,,43.665925,-79.411029,,,,,,1,FALSE,FALSE,FALSE
14619,14653,Sheppard West Station,,43.749659,-79.462575,,,,,,1,FALSE,FALSE,FALSE
14625,14818,St Clair Station,,43.687733,-79.392216,,,,,,1,FALSE,FALSE,FALSE
14637,14859,Coxwell Station,,43.68397,-79.322979,,,,,,1,FALSE,FALSE,FALSE
14683,14954,Eglinton Station,,43.704931,-79.398536,,,,,,1,FALSE,FALSE,FALSE
14684,14955,Finch Station,,43.780488,-79.414808,,,,,,1,FALSE,FALSE,FALSE
14685,14956,Finch Station,,43.781435,-79.41502,,,,,,1,FALSE,FALSE,FALSE
14700,14963,Victoria Park Ave at Victoria Park Station,,43.694409,-79.289812,,,,,,1,FALSE,FALSE,FALSE
14733,14975,Victoria Park Station,,43.694476,-79.288705,,,,,,1,FALSE,FALSE,TRUE
14734,14976,Victoria Park Station,,43.694411,-79.289249,,,,,,1,FALSE,FALSE,FALSE
14739,15002,Scarborough Centre Station,,43.774141,-79.258721,,,,,,1,FALSE,FALSE,FALSE
14822,15052,Kipling Station,,43.638467,-79.534689,,,,,,1,FALSE,FALSE,FALSE
14827,15055,Wilson Station,,43.734777,-79.451045,,,,,,2,FALSE,FALSE,FALSE
14899,15092,Runnymede Station,,43.651824,-79.475539,,,,,,1,FALSE,FALSE,FALSE
14958,15150,Pape Station,,43.680066,-79.344974,,,,,,1,FALSE,FALSE,TRUE
15003,15184,Lawrence Station,,43.725245,-79.402249,,,,,,2,FALSE,FALSE,FALSE
15108,15317,Wilson Station,,43.734804,-79.451075,,,,,,2,FALSE,FALSE,FALSE
