_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
3164,5418,TR-04541,345,Queen St E,Queen St E,South,Parliament St,West,T3064,13,Historic Queen East,KF2,Existing,Provincial,0TS13090,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3646218436529, 43.6554911728115]]}"
3165,5419,TR-04545,2900,Jane St,Jane St,West,Firgrove Cres,South,T10447,07,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5167134692074, 43.7526811112942]]}"
3166,5420,TR-04543,1750,Finch Ave E,Finch Ave E,North,Au Large Blvd,East,T2549,17,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3495429133296, 43.794027363458]]}"
3167,5421,TR-04547,87,Elmhurst Dr,Islington Ave,West,Elmhurst Ave,South,T3784,01,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5589683739923, 43.7228654859312]]}"
3168,5422,TR-04548,1,Falstaff Ave,Jane St,East,Falstaff Ave,South,T3889,05,None,RN2,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.506946880068, 43.7151084618135]]}"
3169,5423,TR-04549,505,The West Mall,The West Mall,East,Holiday Dr,South,T8679,02,None,LCN,Existing,Provincial,S0308679,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5684670125713, 43.6491903001955]]}"
3170,5424,TR-04552,701,Royal York Rd,Royal York Rd,East,Castlebar Rd,North,T7019,03,None,LK,Existing,Provincial,0TS12904,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5052385266946, 43.6328909547874]]}"
3171,5425,TR-04553,2700,Kingston Rd,St Clair Ave E,South,Andrew Ave,West,T1552,20,None,RN1,Existing,Provincial,S3601552,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.244769600326, 43.7200586407231]]}"
3172,5426,TR-04556,2,Dunsfold Dr,Crow Trl,North,Dunsfold Dr,West,T867,23,None,LKN,Existing,Provincial,S4200867,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2309888560004, 43.8135640759724]]}"
3173,5427,TR-04554,155,Morningside Ave,Morningside Ave,East,Coronation Dr,North,T2937,25,None,LKN,Existing,Provincial,S4402937,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.1835964359138, 43.7621939801632]]}"
3174,5429,TR-03920,96,Lloyd Manor Rd,Lloyd Manor Rd,West,Firwood Cres,North,T5497,02,None,LKN,Existing,Provincial,S0305497,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5509304774689, 43.6654834497305]]}"
3175,5430,TR-03074,4804,Yonge St,Yonge St,West,Sheppard Ave W,North,T9050,18,Willowdale,V,Existing,Provincial,0TS12440,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4112056295898, 43.7619384047547]]}"
3176,5431,TR-02893,1489,Dundas St W,Dundas St W,South,Dufferin St,West,T2160,09,Little Portugal,RN1,Existing,Provincial,S1802160,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4316072863635, 43.649565728495]]}"
3177,5432,TR-02041,2284,Brimley Rd,Brimley Rd,West,Huntingwood Dr,South,T4814,23,None,LKN,Temporarily Removed,Provincial,S4104814,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2728879214135, 43.7970960567584]]}"
