_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
1769,3184,TR-03300,1050,Markham Rd,Markham Rd,West,Brimorton Dr,North,T5555,24,None,U,Existing,Provincial,00TS1200,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2308704975026, 43.7737299606233]]}"
1770,3185,TR-03302,33,Gander Dr,Ellesmere Rd,South,Gander Dr,East,T1046,24,None,U,Existing,Provincial,00TS9798,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2263010438583, 43.7775207579361]]}"
1771,3186,TR-03303,3100,Ellesmere Rd,Morningside Ave,West,Ellesmere Rd,North,T2943,24,None,U,Existing,Provincial,00TS1162,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.1936478216266, 43.7855639553325]]}"
1772,3187,TR-03308,371,Old Kingston Rd,Kingston Rd,West,Old Kingston Rd,South,T6620,25,None,LC,Existing,Provincial,00TS1164,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.1694188628959, 43.7834068907374]]}"
1773,3188,TR-03312,None,None,Lawrence Ave E,North,Centennial Rd,East,T5248,25,None,US,Existing,Provincial,00TS1158,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.1459200900091, 43.7776228299229]]}"
1774,3189,TR-03316,2021,Lawrence Ave E,Lawrence Ave E,South,Warden Ave,West,T5330,21,Wexford Heights,U,Existing,Provincial,00TS1198,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2950363552593, 43.7451716337677]]}"
1775,3190,TR-03318,3560,St Clair Ave E,Kennedy Rd,East,St Clair Ave E,North,T2762,20,None,LK,Existing,Provincial,TS9874,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2612288967924, 43.7168249811144]]}"
1776,3191,TR-03323,1940,Eglinton Ave E,Warden Ave,West,Eglinton Ave E,North,T8558,21,None,U,Temporarily Removed,Provincial,00TS9784,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2879310490941, 43.7280442157519]]}"
1777,3192,TR-03327,39,Peking Rd,Markham Rd,West,Blakemanor Blvd,South,T5553,24,None,U,Existing,Provincial,00TS1152,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2223432820823, 43.7507750525893]]}"
1778,3193,TR-03334,770,Don Mills Rd,Don Mills Rd,West,Gateway Blvd,North,T1935,16,None,LC,Existing,Provincial,00TS9016,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3366179260595, 43.7145556160099]]}"
1779,3195,SH-00172,2009X,Eglinton Ave E,Eglinton Ave E,South,Sinnott Rd,West,None,20,None,Standard Daytech,Temporarily Removed,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2808479450864, 43.7291726073075]]}"
1780,3213,TR-03142,1500,Royal York Rd,Royal York Rd,West,Weston Wood Rd,North,T7039,02,None,LCN,Temporarily Removed,Provincial,S0407039,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5310307300693, 43.6919879298598]]}"
1781,3214,TR-03144,2958,Islington Ave,Islington Ave,West,Vanhill Ave,North,T3850,07,None,LC,Existing,Provincial,00TS9428,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5700625877574, 43.7573573686054]]}"
1782,3215,TR-03150,1045,Albion Rd,Islington Ave,East,Albion Rd,South,T3754,01,Albion Islington Square,LC,Existing,Provincial,0TS12392,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5648554222983, 43.7366653048889]]}"
1783,3216,TR-03152,152,Oakwood Ave,Oakwood Ave,West,St Clair Ave W,North,T5916,09,Regal Heights Village,LK,Existing,Provincial,00TS6392,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4358676797146, 43.6798328490418]]}"
1784,3217,TR-03154,629,Lonsdale Rd,Bathurst St,East,Lonsdale Rd,South,T168,12,None,LC,Existing,Provincial,00TS5494,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4196815297405, 43.6868314461436]]}"
1785,3218,TR-03156,None,None,Kipling Ave,West,Henley Cres,North,T4321,01,None,LK,Temporarily Removed,Provincial,00TS5114,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5760182412024, 43.7305980332124]]}"
1786,3219,TR-03158,1530,Albion Rd,Albion Rd,North,Kipling Ave,West,T1685,01,None,U,Existing,Provincial,00TS5004,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5855180023031, 43.7406589398195]]}"
1787,3220,TR-03160,133,Norseman St,Islington Ave,East,Norseman St,South,T2726,03,None,LCN,Existing,Provincial,S0502726,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5188380716538, 43.6342396678605]]}"
1788,3221,TR-03167,1760,Martin Grove Rd,Martin Grove Rd,West,Finch Ave W,South,T5615,01,None,B,Temporarily Removed,Provincial,00TS1358,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5913903719446, 43.7359319943267]]}"
1789,3222,TR-03171,895,Don Mills Rd,Don Mills Rd,East,Green Belt Dr,South,T1942,16,None,T,Existing,Provincial,S3401942,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.340596570109, 43.7274812470362]]}"
1790,3223,TR-03173,None,None,Don Mills Rd,East,Eglinton Ave E,North,T9125,16,None,LCN,Temporarily Removed,Provincial,S2609125,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3389366036444, 43.7213991747444]]}"
1791,3224,TR-03175,1000,The Queensway,Islington Ave,West,The Queensway,North,T2729,03,Shop The Queensway,Q,Existing,Provincial,TS12516P,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5150135689928, 43.6238306698312]]}"
1792,3225,TR-03181,1594,Victoria Park Ave,Victoria Ave E,West,Elvaston Dr,South,T8457,16,None,LC,Existing,Provincial,00TS9106,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3048576357177, 43.7296120840029]]}"
1793,3226,TR-03185,268,Morningview Trl,Morningview Trl,West,Old Finch Ave,South,T13325,25,None,LKN,Existing,Provincial,S4213325,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2017903401719, 43.8217292646503]]}"
1794,3227,TR-03187,74,Staines Rd,Morningside Ave,North,Staines Rd,West,T14990,25,None,LKN,Existing,Provincial,S4214990,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2217959322572, 43.8197509594723]]}"
1795,3229,TR-03655,600,Fleet St,Fleet St,Centre North,Bathurst St,West,T10210A,10,CityPlace and Fort York,Q10-SA,Existing,Provincial,TS12298R,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4001806452252, 43.6364741804561]]}"
1796,3230,TR-03657,600,Fleet St,Fleet St,Centre North,Bathurst St,West,T10210C,10,CityPlace and Fort York,Q10-SA,Existing,Provincial,TS12294L,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4003526402091, 43.6364169917007]]}"
1797,3231,TR-03662,None,None,The Queensway,Centre South,Windermere Ave,East,None,04,None,Canopy,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4691100195294, 43.6372864725757]]}"
1798,3232,TR-03664,None,None,The Queensway,Centre North,Windermere Ave,West,None,04,None,Canopy,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4706450775684, 43.6371247171615]]}"
1799,3233,SH-00550,None,None,The Queensway,Centre South,Glendale Ave,East,None,04,None,Canopy,Temporarily Removed,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4508038759254, 43.6391935197536]]}"
1800,3235,TR-03678,None,None,Fleet St,Centre North,Bastion St,West,T14511C,10,CityPlace and Fort York,Q10-SA,Existing,Provincial,TS12300L,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4041531456868, 43.6359669946671]]}"
1801,3236,TR-03680,None,None,Fleet St,Centre North,Bastion St,West,T14511A,10,CityPlace and Fort York,Q10-SA,Existing,Provincial,TS12304R,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4038382016987, 43.6359503116533]]}"
1802,3237,TR-03685,1619,Keele St,Keele St,East,Rogers Rd,North,T4024,05,None,LCN,Existing,Provincial,S1204024,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4716833524639, 43.6826709177719]]}"
1803,3238,TR-03687,1,Goldwin Ave,Jane St,West,Goldwin Ave,South,T2735,05,None,LCN,Existing,Provincial,S1102735,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5004643878017, 43.6890639375973]]}"
1804,3240,TR-03693,950,Warden Ave,Warden Ave,West,Bertrand Ave,North,T8535,21,None,LKN,Existing,Provincial,S3708535,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2899268134869, 43.7332293701341]]}"
1805,3241,TR-03795,575,Bay St,Bay St,East,Dundas St W,South,T243,13,Downtown Yonge,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3835047255661, 43.6555305543014]]}"
1806,3246,SH-03949,346,Eglinton Ave W,Eglinton Ave W,North,Avenue Rd,West,T2324,08,The Eglinton Way,B,Temporarily Removed,Enseicom,None,Yes,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.4090582196204, 43.7045760465691]]}"
1807,3253,SH-01811,375,Mount Pleasant Rd,Mount Pleasant Rd,West,Moore Ave,North,T5809,12,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3853530427556, 43.6950350085316]]}"
1808,3266,SH-00629,4228,Midland Ave,Steeles Ave E,South,Midland Ave,West,T9782,22,None,D,Temporarily Removed,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2976516808176, 43.8257476062349]]}"
1809,3269,SH-02138,6212B-6600B,Yonge St,Yonge St,West,Nipigon Ave,North,T9059,18,None,A,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4201347932294, 43.7974536459779]]}"
1810,3274,SH-03760,1850,The Queensway,The Queensway,North,North Queen St,West,T9407,03,None,B,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.559419139865, 43.6141246019241]]}"
1811,3278,TR-03796,2611,Lawrence Ave E,Lawrence Ave E,South,Midland Ave,East,T5294,21,None,T,Existing,Provincial,S3705294,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2642577212891, 43.7515601194596]]}"
1812,3279,TR-03797,None,None,Sheppard Ave E,North,Neilson Rd,East,T7223,25,None,LK,Existing,Provincial,00TS1470,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2173837861902, 43.7983166472493]]}"
1813,3280,TR-03799,None,None,Steeles Ave E,South,Mccowan Rd,West,T10919,23,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2755582752013, 43.8308234748966]]}"
1814,3281,TR-03801,None,None,Victoria Park Ave,East,Steeles Ave E,South,T8511,22,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3409639767471, 43.8153143142888]]}"
1815,3282,TR-03803,None,None,Victoria Park Ave,West,Steeles Ave E,South,T8510,17,None,B,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3413269749437, 43.8151878043266]]}"
1816,3283,TR-03804,2,Altair Ave,Victoria Park Ave,East,Altair Ave,North,T8428,22,None,LK,Existing,Provincial,0TS12658,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3271868775556, 43.78447264868]]}"
1817,3285,SH-00701,751,Dundas St W,Dundas St W,South,Bathurst St,West,T2140,10,Trinity-Bellwoods,B,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4063443380193, 43.6521598463477]]}"
1818,3289,SH-00212,1218,Kennedy Rd,Kennedy Ave,West,Forbes Rd,South,T4086,21,Kennedy Road,B,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2772649314373, 43.7551599786524]]}"
1819,3298,SH-00431,75,Eglinton Ave W,Eglinton Ave W,South,Duplex Ave,West,T2342,08,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4007210920973, 43.706155782048]]}"
1820,3300,SH-01157,2180,Yonge St,Yonge St,West,Soudan Ave,North,T8958,12,None,A,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.398022518086, 43.7045233207094]]}"
1821,3314,SH-00969,2900,Eglinton Ave E,Eglinton Ave E,North,Mccowan Rd,East,T2293,21,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2382336092376, 43.7390437855888]]}"
1822,3320,SH-01905,95,Commissioners St,Commissioners St,South,Don Roadway,West,T13364,14,None,C,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3451098682328, 43.6483572993391]]}"
1823,3322,SH-03237,250,Davisville Ave,Davisville Ave,North,Mount Pleasant Rd,East,T1876,15,None,A,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3867008598687, 43.7004603020718]]}"
1824,3324,SH-00581,324,Prince Edward Dr S,Prince Edward Dr S,West,Bloor St W,South,T6771,03,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5053318481368, 43.6480563803833]]}"
1825,3327,SH-02407,1035,Sheppard Ave W,William R Allen Rd,East,Sheppard Ave W,South,T3172,06,DuKe Heights,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4630816583868, 43.7500480291031]]}"
1826,3330,SH-00620,3221,Lake Shore Blvd W,Lake Shore Blvd W,South,Twenty Third St,West,T5157,03,Long Branch,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5214858066357, 43.5970630100007]]}"
1827,3339,SH-02168,1867,Lake Shore Blvd E,Lake Shore Blvd E,South,Kewbeach Ave,West,T8921,19,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3047533928828, 43.6655689210168]]}"
1828,3344,SH-01499,930,Albion Rd,Albion Ave,North,Thistle Down Blvd,West,T6232,01,Albion Islington Square,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.561681263012, 43.7356737856375]]}"
1829,3346,SH-03298,420,King St E,King St E,North,Sackville St,East,T4144,13,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3601426511187, 43.6546212006011]]}"
1830,3348,SH-01984,30,Eglinton Ave E,Eglinton Ave E,North,Holly St,West,T5081,12,None,B,Temporarily Removed,Enseicom,None,Yes,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3973318820712, 43.7070379462077]]}"
1831,3350,TR-05199,3447,Kennedy Rd,Kennedy Rd,East,Steeles Ave E,South,T10037,22,None,LC,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3057142770986, 43.8210474584222]]}"
1832,3351,TR-05200,3251,Kennedy Rd,Kennedy Rd,East,Passmore Ave,South,T4067,22,None,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3038475443348, 43.816778633995]]}"
1833,3352,TR-05201,3223,Kennedy Rd,Kennedy Rd,East,McNicoll Ave,North,T14421,22,None,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3030448189698, 43.8149817955667]]}"
1834,3353,TR-05202,3039,Kennedy Rd,Kennedy Rd,East,Perthshire St,South,T10600,22,None,LK,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3002155175575, 43.8087054827852]]}"
1835,3354,TR-05205,879,Kennedy Rd,Kennedy Rd,East,Ranstone Gdns,South,T4068,21,None,LC,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2709553535956, 43.7398718977345]]}"
1836,3355,TR-05206,929,Kennedy Rd,Kennedy Rd,East,Ranstone Gdns,South,T4117,21,None,T,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2718720036187, 43.7420491985386]]}"
1837,3356,TR-05207,None,None,McCowan Rd,East,Brimorton Dr,South,T5674,24,None,LK,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2480909670113, 43.7635504897862]]}"
1838,3357,TR-05210,None,None,McCowan Rd,West,Bridlegrove Dr,North,T12094,20,None,S,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2365420942195, 43.7345350494631]]}"
1839,3358,TR-05211,639,McCowan Rd,McCowan Rd,East,Hollyhedge Dr,South,T5668,21,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2445421512041, 43.7534581249568]]}"
1840,3359,TR-05212,None,None,McCowan Rd,East,Bellechasse St,North,T5660,24,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2471904650817, 43.7612878281045]]}"
1841,3361,TR-05006,461,Cherry St,Cherry St,East,Front St E,North,T15461,13,None,Q10-SA,Existing,Provincial,0TS13008,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3581410068735, 43.6529596135036]]}"
1842,3362,TR-04494,281,Queens Quay W,Queens Quay W,Centre South,Rees St,West,T15331A,10,The Waterfront,Q10-SA,Existing,Provincial,TS12584R,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3868329728349, 43.6387409139625]]}"
1843,3363,TR-04493,281,Queens Quay W,Queens Quay W,Centre South,Rees St,West,T15331B,10,The Waterfront,Q10-SA,Existing,Provincial,TS12582M,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3869849122123, 43.6387147712443]]}"
1844,3364,TR-04491,318,Queens Quay W,Queens Quay W,Centre North,Rees St,West,T6864A,10,The Waterfront,Q10-SA,Existing,Provincial,TS12578R,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3871202841507, 43.6387727388531]]}"
1845,3365,TR-04490,318,Queens Quay W,Queens Quay W,Centre North,Rees St,West,T6864B,10,The Waterfront,Q10-SA,Existing,Provincial,TS12576M,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3869970525105, 43.6387973168881]]}"
1846,3366,TR-03299,820,Markham Rd,Markham Rd,West,Painted Post Dr,North,T5575,24,None,LC,Existing,Provincial,00TS9898,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2285290258094, 43.7676828941628]]}"
1847,3367,TR-03198,2,Longfield Rd,Kipling Ave,West,Longfield Rd,North,T4337,02,None,LC,Existing,Provincial,00TS1360,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5495270248555, 43.6737056569012]]}"
1848,3370,TR-00880,2,Fundy Bay Blvd,Birchmount Rd,West,Fundy Bay Blvd,North,T418,22,None,LKN,Existing,Provincial,S3900418,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3123688226819, 43.8110630657544]]}"
1849,3371,SH-03909,674,Bay St,Bay St,West,Elm St,North,T245,11,None,B,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3845493523164, 43.6574372810551]]}"
1850,3372,TR-05216,920,McCowan Rd,McCowan Rd,West,St Andrews Rd,North,T5678,21,None,T,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2470282961693, 43.7602405237123]]}"
1851,3373,TR-05217,865,McCowan Rd,McCowan Rd,East,Benleigh Dr,South,T5661,24,None,T,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.245967069245, 43.7582459016487]]}"
1852,3374,TR-05220,126,Chaplin Cres,Chaplin Cres,North,Avenue Rd,East,T3407,12,None,LC,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4058306181915, 43.6987471478294]]}"
1853,3375,TR-05221,1853,Avenue Rd,Avenue Rd,East,Old Orchard Grv,South,T14416,08,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4191617166567, 43.7315338426155]]}"
1854,3376,TR-05223,2029,Avenue Rd,Avenue Rd,East,Dunblaine Ave,South,T59,08,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.419932070998, 43.7357834331116]]}"
1855,3377,TR-05227,3015,Kennedy Rd,Kennedy Rd,East,Trojan Gt,North,T4066,22,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2996977192428, 43.8075698786021]]}"
1856,3378,TR-05229,2907,Kennedy Rd,Kennedy Rd,East,Trojan Gt,South,T4130,22,None,LK,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2979517710735, 43.8037447435686]]}"
1857,3379,TR-05230,2114,Kennedy Rd,Kennedy Rd,West,Norcap Ave,North,T4105,22,None,LC,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2945757585749, 43.7973173433926]]}"
1858,3380,TR-05231,None,None,Kennedy Rd,West,Marilyn Ave,South,T4101,22,None,KF2,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2901322416996, 43.7869946272461]]}"
1859,3381,TR-05296,None,None,Pharmacy Ave,East,Surrey Ave,South,T6758,21,None,RN2,Temporarily Removed,Provincial,None,None,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3021084585998, 43.7372341965113]]}"
1860,3382,TR-05297,None,None,Pharmacy Ave,East,Eglinton Ave E,South,T6659,20,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2967890227181, 43.7238939665194]]}"
1861,3383,TR-05282,757,Victoria Park Ave,Victoria Park Ave,East,Denton Ave,South,T11348,20,None,LC,Existing,Provincial,TS13376,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2887589242622, 43.6925976741987]]}"
1862,3384,TR-05284,1037,Victoria Park Ave,Victoria Park Ave,East,Dawes Rd,South,T8484,20,None,T,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2944121928416, 43.7053527164593]]}"
1863,3385,TR-05292,None,None,Pharmacy Ave,East,Arnall Ave,South,T6661,22,None,T,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3319947483318, 43.8070950835688]]}"
1864,3386,TR-05298,None,None,Birchmount Rd,East,Kingston Rd,North,T7563,20,None,LC,Existing,Provincial,TS13374,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2625203886003, 43.6937402939599]]}"
1865,3387,TR-05300,None,None,Birchmount Rd,East,Ranstone Gdns,South,T443,21,None,LC,Existing,Provincial,TS13370,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2810844324865, 43.7385443002085]]}"
1866,3389,TR-05302,None,None,Birchmount Rd,East,Harleyford Gt,South,T422,22,None,T,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2960234416828, 43.7767863674864]]}"
1867,3390,TR-05303,None,None,Birchmount Rd,West,Carncastle Gt,North,T389,22,None,T,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2963798538562, 43.7771028266618]]}"
1868,3391,TR-05305,None,None,Warden Ave,East,St Clair Ave E,South,T11982,20,None,LC,Existing,Provincial,TS13372,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2805930357649, 43.7115282957412]]}"
1869,3392,TR-05308,1045,Warden Ave,Warden Ave,East,Castille Ave,South,T8547,21,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.292601242191, 43.7404084800902]]}"
1870,3393,TR-05309,92,Frey Cres,Warden Ave,East,Frey Cres,South,T14187,21,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2938381446255, 43.7434229650173]]}"
1871,3394,TR-05310,None,None,Warden Ave,East,Ellington Dr,South,T8562,21,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2993014375899, 43.7569604315541]]}"
1872,3395,TR-05313,None,None,Birchmount Rd,East,Glendower Crct,South,T420,22,None,T,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3033648024245, 43.7931922109403]]}"
1873,3396,TR-05314,None,None,Birchmount Rd,East,Brookmill Blvd,South,T9788,22,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3084646043496, 43.8030158515392]]}"
1874,3397,TR-05316,5476,Dundas St W,Dundas St W,North,Paulart Dr,East,T2178,03,None,LC,Existing,Provincial,0TS13766,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5466376879775, 43.6313537106593]]}"
1875,3401,TR-05321,None,None,Weston Rd,East,Ormont Dr,South,T8753,07,Emery Village,LC,Existing,Provincial,TS13327,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5451167548564, 43.764654768828]]}"
1876,3402,TR-05323,4100,Weston Rd,Weston Rd,West,Ormont Dr,North,T10702,07,Emery Village,LC,Existing,Provincial,TS13337,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5455400504952, 43.7650712385821]]}"
1877,3403,TR-05325,3689,Weston Rd,Weston Rd,East,Ormont Dr,South,T8701,07,Emery Village,LC,Existing,Provincial,TS13325,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5447602369277, 43.7628913074289]]}"
1878,3404,TR-05329,2,Toryork Dr,Weston Rd,West,Toryork Dr,North,T8772,07,Emery Village,LC,Temporarily Removed,Provincial,TS13343,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5428990423295, 43.7535298916781]]}"
1879,3405,TR-05330,None,None,Weston Rd,East,Toryork Dr,South,T9104,07,Emery Village,KR2,Existing,Provincial,TS13319P,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5425147847718, 43.7531783944371]]}"
1880,3409,TR-05336,3251,Weston Rd,Weston Rd,East,Coronado Crt,South,T8709,07,Emery Village,KR1,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5395653043151, 43.7401270253237]]}"
1881,3410,TR-05337,3208,Weston Rd,Weston Rd,West,Verobeach Blvd,North,T8773,07,Emery Village,KR1,Existing,Provincial,TS13347P,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5394016050875, 43.7381856355466]]}"
1882,3411,TR-05338,2549,Weston Rd,Weston Rd,East,Cardell Ave,South,T14262,05,None,KF2,Existing,Provincial,TS13311P,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5342658963636, 43.7095006014588]]}"
1883,3412,TR-05234,429,College St,College St,North,Bathurst St,East,T812C,11,None,Q10-SA,Existing,Provincial,TS13126L,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4072050058045, 43.6566044358932]]}"
1884,3413,TR-05237,2493,Kennedy Rd,Kennedy Rd,East,Havendale Rd,South,T4089,22,None,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2914929986785, 43.7910124001386]]}"
